movieId,ranking,year
XZSggIipG0p9,11059,2019
XZSggIipG0p9,10236,2020
XZSggIipG0p9,10744,2021
XZSggIipG0p9,11500,2022
XZSggIipG0p9,13053,2023
vAIAgpnLU0RQ,4092,2015
vAIAgpnLU0RQ,4099,2016
vAIAgpnLU0RQ,4027,2017
vAIAgpnLU0RQ,5014,2018
vAIAgpnLU0RQ,5007,2019
vAIAgpnLU0RQ,4070,2020
vAIAgpnLU0RQ,5041,2021
vAIAgpnLU0RQ,5058,2022
vAIAgpnLU0RQ,7493,2023
t9PX71BIohWX,9486,2017
t9PX71BIohWX,10381,2018
t9PX71BIohWX,7014,2019
t9PX71BIohWX,6116,2020
t9PX71BIohWX,6006,2021
t9PX71BIohWX,5045,2022
t9PX71BIohWX,7728,2023
iZPjuHCqjm4g,10834,2015
iZPjuHCqjm4g,11868,2016
iZPjuHCqjm4g,11304,2017
iZPjuHCqjm4g,12435,2018
iZPjuHCqjm4g,13661,2019
iZPjuHCqjm4g,8361,2020
iZPjuHCqjm4g,7226,2021
iZPjuHCqjm4g,7461,2022
iZPjuHCqjm4g,10462,2023
yTqojt4rPR2J,8467,2021
yTqojt4rPR2J,9112,2022
yTqojt4rPR2J,11673,2023
hSSwk8Lb84Xq,10713,2018
hSSwk8Lb84Xq,8777,2019
hSSwk8Lb84Xq,10498,2020
hSSwk8Lb84Xq,8651,2021
hSSwk8Lb84Xq,9250,2022
hSSwk8Lb84Xq,5473,2023
xZcWYm0AeUYy,7603,2015
xZcWYm0AeUYy,8574,2016
xZcWYm0AeUYy,10593,2017
xZcWYm0AeUYy,12037,2018
xZcWYm0AeUYy,13175,2019
xZcWYm0AeUYy,12135,2020
xZcWYm0AeUYy,12971,2021
xZcWYm0AeUYy,13552,2022
xZcWYm0AeUYy,9160,2023
jJgawtwUaxBs,11169,2019
jJgawtwUaxBs,13585,2020
jJgawtwUaxBs,14801,2021
jJgawtwUaxBs,15423,2022
jJgawtwUaxBs,18249,2023
tujfjiTFD3yn,3676,2015
tujfjiTFD3yn,3576,2016
tujfjiTFD3yn,2470,2017
tujfjiTFD3yn,2651,2018
tujfjiTFD3yn,2563,2019
tujfjiTFD3yn,2439,2020
tujfjiTFD3yn,2488,2021
tujfjiTFD3yn,2576,2022
tujfjiTFD3yn,4115,2023
Yv9g2hz9tHRQ,11488,2015
Yv9g2hz9tHRQ,7530,2016
Yv9g2hz9tHRQ,7974,2017
Yv9g2hz9tHRQ,8578,2018
Yv9g2hz9tHRQ,9376,2019
Yv9g2hz9tHRQ,11077,2020
Yv9g2hz9tHRQ,11692,2021
Yv9g2hz9tHRQ,12345,2022
Yv9g2hz9tHRQ,14906,2023
m8todXrYJtX4,1950,2015
m8todXrYJtX4,2227,2016
m8todXrYJtX4,2174,2017
m8todXrYJtX4,2371,2018
m8todXrYJtX4,1998,2019
m8todXrYJtX4,2238,2020
m8todXrYJtX4,2434,2021
m8todXrYJtX4,2322,2022
m8todXrYJtX4,2612,2023
s5dFYRWgszU1,5520,2015
s5dFYRWgszU1,5973,2016
s5dFYRWgszU1,6971,2017
s5dFYRWgszU1,8876,2018
s5dFYRWgszU1,9670,2019
s5dFYRWgszU1,9782,2020
s5dFYRWgszU1,12190,2021
s5dFYRWgszU1,10899,2022
s5dFYRWgszU1,12744,2023
I90iER9lhMbv,6914,2019
I90iER9lhMbv,8624,2020
I90iER9lhMbv,9125,2021
I90iER9lhMbv,9572,2022
I90iER9lhMbv,10194,2023
voKlhfszHASH,12839,2021
voKlhfszHASH,13346,2022
voKlhfszHASH,11872,2023
zFvCHjC4Nldo,11277,2016
zFvCHjC4Nldo,10140,2017
zFvCHjC4Nldo,11251,2018
zFvCHjC4Nldo,12409,2019
zFvCHjC4Nldo,14442,2020
zFvCHjC4Nldo,15428,2021
zFvCHjC4Nldo,16214,2022
zFvCHjC4Nldo,18733,2023
TmTY2B13ks0l,5007,2015
TmTY2B13ks0l,5062,2016
TmTY2B13ks0l,4099,2017
TmTY2B13ks0l,5120,2018
TmTY2B13ks0l,5121,2019
TmTY2B13ks0l,5102,2020
TmTY2B13ks0l,5129,2021
TmTY2B13ks0l,6154,2022
TmTY2B13ks0l,3853,2023
8IQNXftW6q0k,4879,2017
8IQNXftW6q0k,5356,2018
8IQNXftW6q0k,5655,2019
8IQNXftW6q0k,6627,2020
8IQNXftW6q0k,6472,2021
8IQNXftW6q0k,6472,2022
8IQNXftW6q0k,7811,2023
niqt8hmeweVe,6471,2023
dIPmp6bPqL63,16762,2021
dIPmp6bPqL63,17433,2022
dIPmp6bPqL63,16686,2023
vIbrUj9E8CBy,4860,2015
vIbrUj9E8CBy,5600,2016
vIbrUj9E8CBy,6610,2017
vIbrUj9E8CBy,7576,2018
vIbrUj9E8CBy,7643,2019
vIbrUj9E8CBy,9280,2020
vIbrUj9E8CBy,9574,2021
vIbrUj9E8CBy,10287,2022
vIbrUj9E8CBy,9868,2023
liB6EnOUY0ot,6597,2023
Qo3CIQrvBIy0,4966,2023
XlbNqwNY04qR,6176,2015
XlbNqwNY04qR,6198,2016
XlbNqwNY04qR,7398,2017
XlbNqwNY04qR,7488,2018
XlbNqwNY04qR,8542,2019
XlbNqwNY04qR,9198,2020
XlbNqwNY04qR,10723,2021
XlbNqwNY04qR,10187,2022
XlbNqwNY04qR,13111,2023
DBKjiB8JADlB,9681,2015
DBKjiB8JADlB,10493,2016
DBKjiB8JADlB,13051,2017
DBKjiB8JADlB,14359,2018
DBKjiB8JADlB,15600,2019
DBKjiB8JADlB,16729,2020
DBKjiB8JADlB,17823,2021
DBKjiB8JADlB,18512,2022
DBKjiB8JADlB,20729,2023
qjvVAManylg1,4567,2015
qjvVAManylg1,4841,2016
qjvVAManylg1,6248,2017
qjvVAManylg1,6734,2018
qjvVAManylg1,6910,2019
qjvVAManylg1,6541,2020
qjvVAManylg1,6822,2021
qjvVAManylg1,6282,2022
qjvVAManylg1,4803,2023
6B8VbJWRnN3m,11426,2020
6B8VbJWRnN3m,12146,2021
6B8VbJWRnN3m,12752,2022
6B8VbJWRnN3m,15876,2023
gt3Ygdhok9n0,11592,2015
gt3Ygdhok9n0,12596,2016
gt3Ygdhok9n0,13021,2017
gt3Ygdhok9n0,14244,2018
gt3Ygdhok9n0,15486,2019
gt3Ygdhok9n0,16676,2020
gt3Ygdhok9n0,17749,2021
gt3Ygdhok9n0,18469,2022
